2018-08-29 03:58:36->由于目标计算机积极拒绝，无法连接。 172.18.114.203:9002
2018-08-29 03:58:36 055	连接设备失败!
2018-08-29 04:06:56 654	心跳应答：55 AA 39 06 00 E0 00 20 54 86 5B 00 76 
2018-08-29 04:07:01 854	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:07:01 854	心跳应答：55 AA 3A 06 00 E0 00 25 54 86 5B 00 70 
2018-08-29 04:07:06 654	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:07:06 654	心跳应答：55 AA 3B 06 00 E0 00 2A 54 86 5B 00 7E 
2018-08-29 04:07:11 854	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:07:11 855	心跳应答：55 AA 3C 06 00 E0 00 2F 54 86 5B 00 7C 
2018-08-29 04:07:16 654	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:07:16 654	心跳应答：55 AA 3D 06 00 E0 00 34 54 86 5B 00 66 
2018-08-29 04:07:21 854	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:07:21 855	心跳应答：55 AA 3E 06 00 E0 00 39 54 86 5B 00 68 
2018-08-29 04:07:26 654	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:07:26 654	心跳应答：55 AA 3F 06 00 E0 00 3E 54 86 5B 00 6E 
2018-08-29 04:07:31 853	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:07:31 853	心跳应答：55 AA 40 06 00 E0 00 43 54 86 5B 00 6C 
2018-08-29 04:07:36 654	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:07:36 654	心跳应答：55 AA 41 06 00 E0 00 48 54 86 5B 00 66 
2018-08-29 04:07:41 854	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:07:41 854	心跳应答：55 AA 42 06 00 E0 00 4D 54 86 5B 00 60 
2018-08-29 04:07:46 653	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:07:46 654	心跳应答：55 AA 43 06 00 E0 00 52 54 86 5B 00 7E 
2018-08-29 04:07:51 854	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:07:51 854	心跳应答：55 AA 44 06 00 E0 00 57 54 86 5B 00 7C 
2018-08-29 04:07:56 654	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:07:56 654	心跳应答：55 AA 45 06 00 E0 00 5C 54 86 5B 00 76 
2018-08-29 04:08:01 854	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:08:01 855	心跳应答：55 AA 46 06 00 E0 00 61 54 86 5B 00 48 
2018-08-29 04:08:06 655	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:08:06 655	心跳应答：55 AA 47 06 00 E0 00 66 54 86 5B 00 4E 
2018-08-29 04:08:11 854	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:08:11 854	心跳应答：55 AA 48 06 00 E0 00 6B 54 86 5B 00 4C 
2018-08-29 04:08:16 654	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:08:16 654	心跳应答：55 AA 49 06 00 E0 00 70 54 86 5B 00 56 
2018-08-29 04:08:21 854	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:08:21 854	心跳应答：55 AA 4A 06 00 E0 00 75 54 86 5B 00 50 
2018-08-29 04:08:26 654	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:08:26 654	心跳应答：55 AA 4B 06 00 E0 00 7A 54 86 5B 00 5E 
